source_file,constant_name,start_s,cause_car,note
src/2017/FixData2017.ipynb,flagtimes,9300,26,folder says 2017; notebook MAXTIME implies a longer event than Lime Rock
src/2017/FixData2017.ipynb,flagtimes,10680,16,
src/2017/FixData2017.ipynb,flagtimes,11760,911,
src/2017/FixData2017.ipynb,flagtimes,19380,86,
src/2017/LapConsistency2017.ipynb,flagtimes,6240,,extra onset not present in FixData2017
src/2017/Aggregate2017.ipynb,times,3720,,MAXTIME=43200 (12 h event)
src/2017/Aggregate2017.ipynb,times,20100,,
src/2017/Aggregate2017.ipynb,times,28500,,
src/2017/Aggregate2017.ipynb,times,33960,,
src/2017/Aggregate2017.ipynb,times,39060,,
src/2018/FixData2018.ipynb,flagtimes,18620,44,
src/2018/LapConsistency2018.ipynb,flagtimes,120,,
src/2018/LapConsistency2018.ipynb,flagtimes,2760,,
src/2018/LapConsistency2018.ipynb,flagtimes,12400,,
src/2018/Aggregate2018.ipynb,times,20580,,MAXTIME=43200 (12 h event)
src/2018/Aggregate2018.ipynb,times,21760,,
src/2018/Aggregate2018.ipynb,times,25560,,
src/2018/Aggregate2018.ipynb,times,29380,,
src/2018/Aggregate2018.ipynb,times,38320,,
src/2019/FixData2019.ipynb,flagtimes,840,31,stored output implies a 6 h race (MAXTIME=21719) not Lime Rock
src/2019/FixData2019.ipynb,flagtimes,16500,38,
src/2019/LapConsistency2019.ipynb,flagtimes,120,,
src/2019/LapConsistency2019.ipynb,flagtimes,6180,,
src/2019/Aggregate2019.ipynb,times,7560,,MAXTIME=9749 (2.7 h Lime Rock)
src/2018+2019/SectorConsistency.ipynb,stop_cars,7613.039,54,'1900-01-01 02:06:53.039000'
